Frame,Population,Avg Speed,Avg Size,Avg Vision,Day Count,Night Count,Neutral Count,Pref Green,Pref Red,Pref Blue
100,112,1.760,7.74,99.42,35,40,37,43,44,25
200,110,1.828,7.99,98.87,33,40,37,40,46,24
300,95,1.921,8.67,98.66,26,39,30,33,37,25
400,108,2.260,9.68,98.59,29,47,32,43,40,25
500,100,2.409,10.52,98.61,21,59,20,47,33,20
600,91,2.566,11.09,99.75,9,72,10,26,46,19
700,106,2.709,11.39,100.13,6,93,7,16,67,23
800,110,2.761,11.51,100.27,2,102,6,11,73,26
900,110,2.786,11.51,100.33,2,101,7,10,74,26
1000,108,2.811,11.53,100.42,2,100,6,9,74,25
1100,100,2.820,11.53,100.52,2,93,5,7,67,26
1200,81,2.862,11.54,100.66,2,76,3,6,53,22
1300,79,2.878,11.55,100.73,2,75,2,5,48,26
1400,79,2.874,11.56,101.08,1,76,2,4,48,27
1500,68,2.873,11.57,101.27,1,65,2,3,43,22
1600,59,2.884,11.59,101.49,1,57,1,2,37,20
1700,53,2.880,11.59,101.63,1,51,1,2,31,20
1800,43,2.876,11.59,102.03,0,42,1,2,28,13
1900,33,2.893,11.61,102.17,0,33,0,1,21,11
2000,33,2.903,11.60,102.89,0,33,0,0,21,12
2100,32,2.906,11.60,103.50,1,31,0,0,20,12
2200,33,2.909,11.58,103.36,2,31,0,0,20,13
2300,33,2.907,11.58,103.11,2,31,0,0,20,13
2400,35,2.907,11.58,103.43,2,33,0,0,22,13
2500,39,2.910,11.57,104.24,4,35,0,0,25,14
2600,42,2.920,11.56,104.19,6,36,0,0,26,16
2700,39,2.918,11.56,104.63,5,34,0,0,24,15
2800,41,2.920,11.56,104.59,5,36,0,0,27,14
2900,42,2.917,11.56,104.81,5,37,0,0,28,14
3000,40,2.914,11.56,104.65,5,35,0,0,27,13
3100,42,2.914,11.55,104.50,5,37,0,0,27,15
3200,42,2.912,11.53,104.50,4,38,0,0,26,16
3300,41,2.912,11.54,104.25,4,37,0,0,23,18
3400,45,2.911,11.54,104.18,4,41,0,0,23,22
3500,46,2.908,11.52,104.06,4,42,0,1,23,22
3600,42,2.908,11.51,103.98,3,39,0,1,21,20
3700,38,2.904,11.50,103.87,2,36,0,1,20,17
3800,38,2.904,11.50,103.87,2,36,0,1,20,17
3900,38,2.905,11.51,103.96,2,36,0,2,19,17
4000,36,2.907,11.52,104.11,1,35,0,2,18,16
4100,35,2.907,11.53,104.44,1,34,0,3,19,13
4200,31,2.908,11.58,104.82,0,30,1,3,17,11
4300,31,2.908,11.59,104.82,0,30,1,4,16,11
4400,37,2.906,11.61,104.94,1,35,1,6,18,13
4500,40,2.900,11.63,105.06,1,38,1,7,20,13
4600,43,2.900,11.61,104.85,1,40,2,7,21,15
4700,43,2.897,11.62,104.78,1,40,2,8,20,15
4800,45,2.897,11.62,104.77,1,40,4,8,22,15
4900,43,2.897,11.63,104.94,1,37,5,9,20,14
5000,44,2.894,11.63,104.90,1,37,6,9,20,15
5100,43,2.890,11.61,104.53,1,35,7,8,18,17
5200,40,2.890,11.64,104.75,1,29,10,8,17,15
5300,39,2.890,11.63,104.92,1,27,11,7,18,14
5400,38,2.891,11.63,105.15,1,24,13,7,18,13
5500,39,2.897,11.65,105.87,2,21,16,8,20,11
5600,42,2.897,11.65,106.04,2,22,18,9,21,12
5700,43,2.891,11.67,106.08,2,22,19,9,20,14
5800,45,2.891,11.67,106.16,2,22,21,9,22,14
5900,50,2.890,11.68,106.97,2,24,24,10,23,17
6000,49,2.894,11.68,107.08,2,22,25,8,24,17
6100,51,2.896,11.69,107.36,2,20,29,11,26,14
6200,55,2.896,11.68,107.53,0,20,35,12,30,13
6300,50,2.899,11.68,107.62,0,16,34,12,28,10
6400,50,2.903,11.68,108.11,0,14,36,13,29,8
6500,48,2.901,11.68,108.32,0,11,37,12,29,7
6600,47,2.901,11.67,108.11,0,10,37,14,27,6
6700,42,2.894,11.66,108.05,1,7,34,15,23,4
6800,44,2.897,11.65,108.07,1,6,37,13,27,4
6900,43,2.897,11.62,107.82,2,4,37,12,27,4
7000,44,2.897,11.62,107.56,2,3,39,13,28,3
7100,45,2.897,11.62,107.55,2,3,40,16,26,3
7200,46,2.899,11.61,107.33,2,3,41,17,26,3
7300,45,2.899,11.58,107.05,2,1,42,18,26,1
7400,45,2.899,11.59,107.26,2,1,42,18,26,1
7500,47,2.896,11.57,107.09,2,1,44,19,27,1
7600,43,2.895,11.53,107.01,1,1,41,19,23,1
7700,46,2.896,11.54,107.10,1,1,44,20,24,2
7800,44,2.898,11.54,107.06,1,1,42,20,22,2
7900,47,2.898,11.54,107.11,1,2,44,20,25,2
8000,44,2.901,11.53,107.49,0,2,42,17,25,2
100,109,1.831,8.66,99.82,44,29,36,50,41,18
200,103,1.883,9.03,100.20,41,25,37,45,41,17
300,104,1.973,9.43,99.94,40,23,41,43,47,14
400,111,2.135,10.32,100.16,47,18,46,42,57,12
500,100,2.196,10.85,100.89,42,21,37,34,57,9
600,91,2.222,11.09,101.44,45,16,30,26,57,8
700,103,2.277,11.23,101.44,62,11,30,29,68,6
800,103,2.295,11.32,101.46,65,6,32,28,69,6
900,96,2.326,11.36,101.59,63,5,28,25,67,4
1000,96,2.345,11.36,101.41,65,4,27,25,67,4
1100,89,2.366,11.41,101.82,61,3,25,21,65,3
1200,78,2.394,11.43,101.86,55,2,21,19,56,3
1300,91,2.452,11.44,100.85,64,2,25,25,64,2
1400,86,2.495,11.50,101.51,60,4,22,19,65,2
1500,80,2.531,11.54,101.35,56,4,20,16,62,2
1600,72,2.528,11.57,101.43,49,4,19,13,57,2
1700,63,2.521,11.56,100.80,41,4,18,11,50,2
1800,59,2.517,11.56,100.49,38,4,17,11,47,1
1900,45,2.545,11.59,100.51,28,4,13,6,38,1
2000,39,2.539,11.55,99.62,22,4,13,5,33,1
2100,32,2.536,11.54,99.54,18,4,10,4,27,1
2200,32,2.541,11.59,100.72,18,6,8,5,26,1
2300,35,2.504,11.50,99.68,17,6,12,5,29,1
2400,42,2.525,11.51,99.67,21,8,13,6,35,1
2500,53,2.537,11.57,99.82,29,10,14,12,40,1
2600,53,2.537,11.58,99.57,29,10,14,13,39,1
2700,56,2.542,11.57,99.70,30,10,16,13,43,0
2800,53,2.533,11.56,99.65,28,9,16,14,39,0
2900,46,2.519,11.54,99.34,21,8,17,12,34,0
3000,50,2.483,11.46,98.34,21,6,23,18,32,0
3100,45,2.471,11.44,98.12,17,4,24,15,30,0
3200,47,2.477,11.43,98.60,16,4,27,14,33,0
3300,47,2.469,11.38,98.71,12,4,31,15,32,0
3400,51,2.459,11.38,98.46,14,3,34,16,35,0
3500,49,2.452,11.38,98.27,13,3,33,16,33,0
3600,52,2.447,11.38,98.26,14,3,35,18,34,0
3700,56,2.446,11.37,98.32,16,3,37,20,36,0
3800,63,2.429,11.35,98.01,17,5,41,24,39,0
3900,56,2.411,11.31,97.79,14,3,39,23,33,0
4000,56,2.418,11.33,98.13,14,4,38,24,32,0
4100,53,2.413,11.34,98.18,12,4,37,23,30,0
4200,54,2.427,11.34,98.28,15,3,36,26,28,0
4300,51,2.451,11.41,99.26,17,2,32,23,27,1
4400,51,2.462,11.45,99.83,17,2,32,22,28,1
4500,44,2.434,11.38,98.87,11,1,32,19,24,1
100,113,1.948,8.27,99.71,33,45,35,50,48,15
200,108,2.024,8.70,99.77,30,46,32,52,43,13
300,107,2.037,9.10,99.73,29,51,27,57,37,13
400,120,2.148,9.63,99.34,29,57,34,71,36,13
500,104,2.307,10.64,98.23,13,62,29,76,21,7
600,102,2.344,11.10,97.90,10,69,23,84,13,5
700,112,2.411,11.24,97.67,10,72,30,96,14,2
800,110,2.452,11.27,96.93,3,78,29,95,12,3
900,102,2.445,11.28,97.05,2,69,31,88,11,3
1000,109,2.470,11.29,96.94,2,67,40,95,10,4
1100,105,2.468,11.29,97.20,1,59,45,94,8,3
1200,92,2.493,11.28,96.88,0,47,45,83,7,2
1300,94,2.522,11.30,96.91,0,41,53,87,4,3
1400,92,2.534,11.36,96.89,0,32,60,87,2,3
1500,84,2.515,11.39,96.93,0,24,60,80,1,3
1600,81,2.538,11.42,96.89,0,21,60,78,1,2
1700,69,2.544,11.45,96.77,0,13,56,67,0,2
1800,59,2.531,11.45,97.09,0,10,49,58,0,1
1900,53,2.505,11.51,97.19,0,5,48,52,0,1
2000,51,2.508,11.49,97.36,0,4,47,50,0,1
2100,45,2.525,11.50,97.33,0,2,43,44,0,1
2200,45,2.525,11.50,97.28,0,2,43,44,0,1
2300,47,2.523,11.47,97.46,0,2,45,46,0,1
2400,50,2.516,11.51,97.39,0,1,49,49,0,1
2500,51,2.515,11.49,97.46,0,1,50,50,0,1
2600,49,2.525,11.50,97.33,0,1,48,48,0,1
2700,48,2.529,11.51,97.27,0,1,47,47,0,1
2800,52,2.546,11.49,97.46,0,1,51,51,0,1
2900,55,2.539,11.49,97.55,0,0,55,54,0,1
3000,55,2.541,11.48,97.78,0,0,55,53,0,2
3100,56,2.541,11.47,97.92,0,0,56,53,1,2
100,119,1.921,8.59,101.63,31,39,49,56,47,16
200,115,1.911,8.95,102.59,28,34,53,54,48,13
300,115,1.951,9.14,103.30,28,33,54,55,46,14
400,119,2.029,9.43,104.29,28,28,63,59,45,15
500,100,2.102,9.75,105.18,15,20,65,56,35,9
600,91,2.038,10.10,105.66,13,17,61,56,33,2
700,101,2.153,10.45,107.68,12,13,76,72,28,1
800,103,2.173,10.55,108.27,13,15,75,72,30,1
900,104,2.164,10.58,108.17,11,18,75,74,29,1
1000,114,2.226,10.60,108.26,9,12,93,89,25,0
1100,112,2.209,10.70,108.28,9,10,93,92,18,2
1200,99,2.229,10.74,108.87,4,6,89,84,11,4
1300,116,2.195,10.80,108.88,4,4,108,103,8,5
1400,107,2.136,10.93,109.26,3,3,101,94,7,6
1500,96,2.101,11.06,109.69,3,2,91,79,5,12
1600,94,2.109,11.15,109.10,1,1,92,71,5,18
1700,87,2.104,11.23,109.04,0,1,86,63,4,20
1800,84,2.111,11.24,109.18,0,0,84,59,3,22
1900,78,2.108,11.26,109.36,0,0,78,51,2,25
100,115,1.666,8.53,99.85,31,28,56,44,53,18
200,126,1.725,8.71,99.75,35,28,63,51,56,19
300,128,1.912,9.14,99.61,26,27,75,50,63,15
400,146,2.108,9.63,98.88,29,19,98,53,81,12
500,148,2.247,10.06,97.30,31,14,103,53,85,10
600,146,2.308,10.36,96.15,42,12,92,65,73,8
700,176,2.389,10.66,95.18,72,9,95,93,74,9
800,183,2.423,11.07,93.26,112,10,61,131,42,10
900,208,2.460,11.52,92.34,162,7,39,179,22,7
1000,272,2.555,11.81,91.87,249,1,22,247,18,7
1100,292,2.568,11.93,91.86,262,0,30,259,17,16
1200,309,2.583,11.99,91.69,256,0,53,265,23,21
1300,343,2.588,12.00,91.68,283,0,60,292,26,25
1400,349,2.588,12.00,91.65,287,0,62,296,28,25
1500,353,2.588,12.00,91.67,288,0,65,299,28,26
1600,355,2.588,12.00,91.66,290,0,65,301,28,26
1700,358,2.589,12.00,91.66,292,0,66,303,29,26
100,171,1.994,8.01,100.65,45,42,84,56,68,47
200,205,2.043,8.12,100.68,47,49,109,62,83,60
300,228,2.097,8.29,100.50,54,51,123,69,93,66
400,307,2.127,8.75,99.76,78,65,164,85,138,84
500,332,2.135,9.00,99.68,80,67,185,87,156,89
600,342,2.138,9.26,99.15,86,71,185,84,174,84
700,416,2.159,9.50,99.15,103,80,233,101,219,96
800,433,2.138,9.77,99.39,92,79,262,105,215,113
900,445,2.185,10.07,98.84,89,77,279,116,219,110
100,156,1.882,8.49,100.74,59,36,61,59,67,30
200,192,2.011,8.86,100.31,62,47,83,68,82,42
100,356,1.085,5.59,99.39,118,100,138,122,98,136
200,356,0.717,5.52,98.12,118,116,122,108,112,136
300,354,0.581,5.50,94.12,106,132,116,94,140,120
100,382,1.599,5.56,105.95,138,122,122,136,122,124
200,368,1.180,5.41,93.80,148,118,102,106,126,136
300,368,0.721,5.54,92.22,126,124,118,114,114,140
400,368,0.571,5.48,84.36,106,128,134,126,118,124
500,368,0.533,5.49,76.64,122,120,126,108,118,142
600,368,0.520,5.41,82.19,132,116,120,134,128,106
700,368,0.514,5.51,85.95,152,124,92,144,106,118
800,368,0.514,5.54,84.80,86,126,156,100,132,136
900,368,0.513,5.56,81.44,158,110,100,116,138,114
1000,368,0.517,5.48,81.10,118,130,120,110,122,136
1100,368,0.517,5.49,82.57,138,116,114,136,88,144
1200,366,0.516,5.51,74.88,128,110,128,112,118,136
1300,366,0.519,5.50,70.96,128,100,138,120,134,112
1400,366,0.514,5.48,72.08,112,132,122,94,122,150
1500,366,0.517,5.46,78.05,126,128,112,116,142,108
1600,366,0.515,5.47,82.44,134,94,138,122,148,96
1700,366,0.515,5.57,86.41,100,148,118,106,124,136
100,388,1.450,5.48,93.32,158,120,110,138,146,104
100,388,1.604,5.60,100.80,114,110,164,162,114,112
